term_uid	module_id
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	M669c443c1ced
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	M90ddb00070c9
fgsea_msigdb_H_entrez:HALLMARK_ANDROGEN_RESPONSE	Mc9bcce779f31
fgsea_msigdb_H_entrez:HALLMARK_ANGIOGENESIS	Mbd75ba566ca8
fgsea_msigdb_H_entrez:HALLMARK_APICAL_JUNCTION	Md463544bbc28
fgsea_msigdb_H_entrez:HALLMARK_APICAL_SURFACE	M961d3fe58c93
fgsea_msigdb_H_entrez:HALLMARK_APOPTOSIS	M34876d0f79f9
fgsea_msigdb_H_entrez:HALLMARK_BILE_ACID_METABOLISM	M2c13dab23404
fgsea_msigdb_H_entrez:HALLMARK_CHOLESTEROL_HOMEOSTASIS	M9d7bcc265342
fgsea_msigdb_H_entrez:HALLMARK_COAGULATION	Mfd2cde556cb5
fgsea_msigdb_H_entrez:HALLMARK_COMPLEMENT	Mbc4efa44368e
fgsea_msigdb_H_entrez:HALLMARK_DNA_REPAIR	M973e600eea7a
fgsea_msigdb_H_entrez:HALLMARK_E2F_TARGETS	M79ff6f5011d5
fgsea_msigdb_H_entrez:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Mc7173541e93b
fgsea_msigdb_H_entrez:HALLMARK_ESTROGEN_RESPONSE_EARLY	M65eebcb51be4
fgsea_msigdb_H_entrez:HALLMARK_ESTROGEN_RESPONSE_LATE	M65eebcb51be4
fgsea_msigdb_H_entrez:HALLMARK_FATTY_ACID_METABOLISM	Mcc40e0a1c17e
fgsea_msigdb_H_entrez:HALLMARK_G2M_CHECKPOINT	M79ff6f5011d5
fgsea_msigdb_H_entrez:HALLMARK_GLYCOLYSIS	M17dd3128559c
fgsea_msigdb_H_entrez:HALLMARK_HEDGEHOG_SIGNALING	Md54144a27bb8
fgsea_msigdb_H_entrez:HALLMARK_HEME_METABOLISM	M1b609da325d5
fgsea_msigdb_H_entrez:HALLMARK_HYPOXIA	M17dd3128559c
fgsea_msigdb_H_entrez:HALLMARK_IL2_STAT5_SIGNALING	M652501b0a03d
fgsea_msigdb_H_entrez:HALLMARK_IL6_JAK_STAT3_SIGNALING	Ma5a7df39a640
fgsea_msigdb_H_entrez:HALLMARK_INFLAMMATORY_RESPONSE	M85c179076b25
fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_ALPHA_RESPONSE	Ma5a7df39a640
fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_GAMMA_RESPONSE	Ma5a7df39a640
fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_DN	M4470f9aea891
fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_UP	Mefbc43c285ba
fgsea_msigdb_H_entrez:HALLMARK_MITOTIC_SPINDLE	Mdb3aebd22ff7
fgsea_msigdb_H_entrez:HALLMARK_MTORC1_SIGNALING	M7b7d70093e6a
fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V1	M79ff6f5011d5
fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V2	M79ff6f5011d5
fgsea_msigdb_H_entrez:HALLMARK_MYOGENESIS	Mfb6f525034b1
fgsea_msigdb_H_entrez:HALLMARK_NOTCH_SIGNALING	M976c4e27c864
fgsea_msigdb_H_entrez:HALLMARK_OXIDATIVE_PHOSPHORYLATION	M669c443c1ced
fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY	M9f10612cb492
fgsea_msigdb_H_entrez:HALLMARK_PANCREAS_BETA_CELLS	M4171f5317fa6
fgsea_msigdb_H_entrez:HALLMARK_PEROXISOME	M19197c5f8090
fgsea_msigdb_H_entrez:HALLMARK_PI3K_AKT_MTOR_SIGNALING	Mf4f301af1cc6
fgsea_msigdb_H_entrez:HALLMARK_PROTEIN_SECRETION	M60bdaf998926
fgsea_msigdb_H_entrez:HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	M49d7f6b304ae
fgsea_msigdb_H_entrez:HALLMARK_SPERMATOGENESIS	Md035de5c37fc
fgsea_msigdb_H_entrez:HALLMARK_TGF_BETA_SIGNALING	Mcec16d671dc9
fgsea_msigdb_H_entrez:HALLMARK_TNFA_SIGNALING_VIA_NFKB	M85c179076b25
fgsea_msigdb_H_entrez:HALLMARK_UNFOLDED_PROTEIN_RESPONSE	M9c73d5c1d26b
fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_DN	M2a8ea2dcf049
fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_UP	Mc0eca2819eae
fgsea_msigdb_H_entrez:HALLMARK_WNT_BETA_CATENIN_SIGNALING	M976c4e27c864
fgsea_msigdb_H_entrez:HALLMARK_XENOBIOTIC_METABOLISM	M91c79b271d34
